id,lat,lon
ae918eb035,-23.57117,-46.679486
2370c2fba4,-23.518885,-46.411625
082b73571f,-23.60408,-46.694947
f9dc742eb6,-23.546277,-46.45129
7c17405214,-23.529884,-46.646887
265aedba8c,-23.565083,-46.677621
72c56ed224,-23.629957,-46.736317
063ca2d12e,-23.439519,-46.717865
60265f8c63,-23.531276,-46.682951
cd8afaeb9e,-23.640009,-46.673852
c3af044b4c,-23.604163,-46.613575
05b5e3c2c6,-23.600015,-46.613473
b24be7c288,-23.582658,-46.680179
b59d08cebf,-23.523161,-46.528847
c4478b7ab7,-23.572374,-46.547978
e7696cd060,-23.559149,-46.6621
8eb8dde121,-23.632162,-46.708059
fc7f4ac436,-23.616544,-46.632761
49a618bedb,-23.597953,-46.492869
f0479aff9b,-23.602083,-46.660207
62848319d9,-23.598036,-46.666941
69861795e6,-23.555902,-46.653806
0493cc302d,-23.521001,-46.705694
538811ddc5,-23.605254,-46.669213
e82bf06599,-23.634012,-46.732384
5795a182db,-23.627216,-46.73299
ec6b801acb,-23.683894,-46.660272
b1c082d99b,-23.688213,-46.792962
66fec2eb3b,-23.528012,-46.656045
78a92467a6,-23.604042,-46.673798
3563c743dd,-23.597877,-46.667169
254af03215,-23.473281,-46.631051
68acb18d12,-23.62723,-46.664762
5145d5e80c,-23.591107,-46.680736
053ce5c1ea,-23.60858,-46.727248
91c86a5c30,-23.638011,-46.66918
5934d2388e,-23.551011,-46.543376
881e7fec45,-23.580643,-46.606079
52854ceba5,-23.519646,-46.601448
cd4abd6b49,-23.561117,-46.654108
9aa1e2dd58,-23.592919,-46.596418
b5bf09d181,-23.669609,-46.685076
41e339c6f9,-23.56099,-46.67218
468efd234b,-23.44274,-46.728023
856886a5be,-23.534634,-46.568641
066263270a,-23.604498,-46.665878
afb683d69e,-23.475317,-46.631995
4b9e5a76b4,-23.528689,-46.729752
57a9fbe620,-23.617158,-46.679413
16efaff4f9,-23.540455,-46.413324
44637537e6,-23.749463,-46.753107
c5299703d4,-23.548841,-46.641347
30e2e770fa,-23.56871,-46.657684
11c8362107,-23.49844,-46.612044
13b8a63bed,-23.630839,-46.738406
03f4c32001,-23.568214,-46.653946
1963ab4997,-23.60049,-46.730103
b468fcd2ec,-23.637583,-46.726968
ad8f656737,-23.595567,-46.649791
a1fad8a9e9,-23.55369,-46.657082
c5d1929213,-23.623571,-46.762264
a573d59a33,-23.599135,-46.751457
509e3c8884,-23.623642,-46.735099
4cb648a055,-23.61354,-46.740127
efd29bb77c,-23.622004,-46.735174
a34d3ca90d,-23.624898,-46.633542
3f9b6ae13c,-23.548841,-46.641347
f57fe722ad,-23.605072,-46.458536
b60abcd636,-23.582643,-46.682635
bec374d5b5,-23.566628,-46.621521
667dab54bd,-23.659177,-46.695531
fc197ab775,-23.501223,-46.705604
cca374d14c,-23.598451,-46.667108
693ffc818b,-23.587353,-46.544852
0143c016be,-23.578244,-46.564252
ec68056631,-23.687771,-46.683991
552e8bda93,-23.632396,-46.730721
7402c6428e,-23.484669,-46.616085
dd97615c20,-23.485509,-46.607294
ce483bf84b,-23.481974,-46.688427
c0691d0429,-23.598327,-46.611316
95c9af7339,-23.569173,-46.620563
e7d92d9d53,-23.599836,-46.648173
a809add68c,-23.553392,-46.661405
61fcb35ca9,-23.523321,-46.683734
27d91ff718,-23.536552,-46.716653
af2b299d8f,-23.62263,-46.67236
2e05198e6d,-23.584093,-46.675817
f6ce395f84,-23.603746,-46.646224
773c2269dc,-23.624284,-46.666132
3723f76c08,-23.49454,-46.674162
53b6758376,-23.605636,-46.664665
31b1f8b722,-23.541772,-46.639969
bdc5bc8541,-23.538666,-46.693858
1126bba055,-23.593342,-46.79801
b981e9faab,-23.645035,-46.664654
22820b6c2a,-23.443249,-46.728831
f9394a8e83,-23.597067,-46.59925
f4bfab7726,-23.517396,-46.567928
7b3f004ecd,-23.530651,-46.6834
f670789463,-23.518716,-46.587196
0ce43cf674,-23.634037,-46.727405
528231b46e,-23.645983,-46.771713
ae27549b75,-23.536901,-46.674316
ac9f3f1580,-23.565636,-46.74476
68de7b5964,-23.548887,-46.436545
dcc654a027,-23.491535,-46.628767
cbe13833f2,-23.489783,-46.6418
8e6a3bf366,-23.566572,-46.654412
65c80a2d12,-23.583903,-46.64487
bdb09a1aba,-23.562657,-46.754839
f292f486de,-23.60056,-46.672552
f61e272674,-23.450756,-46.590766
dc316c51f8,-23.566559,-46.633204
ee0a1fdaee,-23.509398,-46.665684
aa5a018ebf,-23.626193,-46.67366
53f05df409,-23.577527,-46.740042
f2290b15eb,-23.631739,-46.703319
d6c9d49fe1,-23.615074,-46.63349
3323ddb719,-23.555014,-46.537343
3e0f95a8bb,-23.629721,-46.733453
3197a9a5fc,-23.579877,-46.76346
adb286d815,-23.549536,-46.746655
95b677a26b,-23.548208,-46.447512
999325694a,-23.606352,-46.665479
2a039abf6b,-23.563938,-46.518383
b5833962c3,-23.494364,-46.65051
d0b093ae36,-23.528062,-46.697397
afbe04bf53,-23.537575,-46.644346
76ec61e3e2,-23.632877,-46.73384
59b6f07ffa,-23.451922,-46.574394
48d045f84c,-23.569072,-46.62696
9830942c90,-23.475941,-46.625318
4bbd8cbaba,-23.638263,-46.670689
f715606791,-23.484214,-46.642514
23a02fa63b,-23.475195,-46.601859
e33bf47381,-23.506788,-46.589384
7c8fdb732b,-23.598228,-46.68302
68e5a5287e,-23.572177,-46.655731
36bf024c85,-23.58588,-46.676109
97c53218d5,-23.604334,-46.665433
a566e26219,-23.494242,-46.592133
d06194671a,-23.560175,-46.695635
15695c7de7,-23.533112,-46.490268
c8fe260a3a,-23.538718,-46.566798
